timestamp,macModule,rssi,metre
2022-09-23 14:42:41.914,C45BBE39F42A,-72,40
2022-09-23 14:42:32.175,C45BBE39F42A,-72,40
2022-09-23 14:42:22.458,C45BBE39F42A,-72,40
2022-09-23 14:42:12.724,C45BBE39F42A,-69,40
2022-09-23 14:42:12.577,A8032A31204E,-80,40
2022-09-23 14:42:03.021,C45BBE39F42A,-62,40
2022-11-18 10:42:55.214,A8032A31204E,-76,41
2022-11-18 10:42:49.509,A8032A31204E,-80,41
2022-11-18 10:42:41.859,A8032A31204E,-80,41
2022-11-18 10:42:28.470,A8032A31204E,-80,41
2022-11-18 10:42:16.951,A8032A31204E,-79,41
2022-11-18 10:42:09.323,A8032A31204E,-80,41
2022-11-18 10:41:40.581,A8032A31204E,-79,41
2022-11-18 10:41:23.323,A8032A31204E,-78,41
2022-11-18 10:41:15.647,A8032A31204E,-79,41
2022-11-18 10:41:02.238,A8032A31204E,-79,41
2022-11-18 10:40:56.501,A8032A31204E,-77,41
2022-11-18 10:40:48.876,A8032A31204E,-80,41
2022-11-18 10:40:37.356,A8032A31204E,-80,41
2022-11-18 10:40:27.807,A8032A31204E,-75,41
2022-11-18 10:40:20.196,A8032A31204E,-80,41
2022-11-18 10:40:08.660,A8032A31204E,-77,41
2022-11-18 10:45:33.536,C45BBE39F56A,-80,42
2022-11-18 10:45:30.827,C45BBE37B346,-80,42
2022-11-18 10:45:21.501,C45BBE39F56A,-80,42
2022-11-18 10:45:21.279,C45BBE37B346,-80,42
2022-11-18 10:45:11.559,C45BBE37B346,-80,42
2022-11-18 10:45:09.889,C45BBE39F56A,-80,42
2022-11-18 10:44:59.578,C45BBE37B346,-80,42
2022-11-18 10:44:51.907,C45BBE37B346,-80,42
2022-11-18 10:44:41.955,C45BBE39F56A,-80,42
2022-11-18 10:44:40.429,C45BBE37B346,-80,42
2022-11-18 10:44:28.971,C45BBE37B346,-79,42
2022-11-18 10:44:21.248,C45BBE37B346,-79,42
2022-11-18 10:44:16.025,C45BBE386952,-78,42
2022-11-18 10:44:14.715,C45BBE39F56A,-80,42
2022-11-18 10:44:09.809,C45BBE37B346,-80,42
2022-11-18 14:40:46.366,A8032A31204E,-78,43
2022-11-18 14:40:40.626,A8032A31204E,-77,43
2022-11-18 14:40:27.125,A8032A31204E,-79,43
2022-11-18 14:40:13.564,A8032A31204E,-74,43
2022-11-18 14:39:56.206,A8032A31204E,-74,43
2022-11-18 14:39:52.520,A8032A31204E,-73,43
2022-11-18 14:39:42.702,A8032A31204E,-72,43
2022-11-18 14:39:33.258,A8032A31204E,-75,43
2022-11-18 14:39:17.700,A8032A31204E,-78,43
2022-11-18 14:38:06.770,A8032A31204E,-80,43
2022-11-18 14:37:39.987,A8032A31204E,-77,43
2022-11-18 14:37:22.622,A8032A31204E,-77,43
2022-11-18 14:37:11.175,A8032A31204E,-80,43
2022-11-18 13:12:50.248,A8032A31204E,-78,44
2022-11-18 13:12:42.694,A8032A31204E,-78,44
2022-11-18 13:12:29.197,A8032A31204E,-80,44
2022-11-18 13:12:23.475,A8032A31204E,-77,44
2022-11-18 13:12:07.962,A8032A31204E,-78,44
2022-11-18 13:12:02.179,A8032A31204E,-79,44
2022-11-18 13:11:53.523,A8032A31204E,-80,44
2022-11-18 13:11:40.159,A8032A31204E,-76,44
2022-11-18 13:11:32.644,A8032A31204E,-80,44
2022-11-18 13:11:23.135,A8032A31204E,-78,44
2022-11-18 13:11:13.308,A8032A31204E,-79,44
2022-11-18 13:11:01.923,A8032A31204E,-78,44
2022-11-18 13:10:38.698,A8032A31204E,-80,44
2022-11-18 13:10:27.196,A8032A31204E,-79,44
2022-11-18 13:10:17.655,A8032A31204E,-78,44
2022-11-18 13:10:11.978,A8032A31204E,-80,44
2022-11-25 11:13:59.161,A8032A31204E,-73,45
2022-11-25 11:13:49.312,A8032A31204E,-78,45
2022-11-25 11:13:39.587,A8032A31204E,-79,45
2022-11-25 11:13:27.867,A8032A31204E,-75,45
2022-11-25 11:13:20.031,A8032A31204E,-73,45
2022-11-25 11:13:06.418,A8032A31204E,-78,45
2022-11-25 11:12:52.758,A8032A31204E,-78,45
2022-11-25 11:12:51.760,C45BBE39F56A,-80,45
2022-11-25 11:12:49.808,C45BBE39F56A,-80,45
2022-11-25 11:12:44.906,A8032A31204E,-80,45
2022-11-25 11:12:37.130,A8032A31204E,-76,45
2022-11-25 11:11:29.564,C45BBE39F56A,-80,45
2022-11-25 11:11:24.621,A8032A31204E,-77,45
2022-11-25 11:11:16.784,A8032A31204E,-78,45
2022-11-25 11:11:08.932,A8032A31204E,-74,45
2022-11-18 14:35:55.748,A8032A31204E,-79,46
2022-11-18 14:35:20.192,A8032A31204E,-80,46
2022-11-18 14:35:12.536,A8032A31204E,-79,46
2022-11-18 14:34:11.263,A8032A31204E,-80,46
2022-11-18 14:33:54.028,A8032A31204E,-80,46
2022-11-18 14:33:15.660,A8032A31204E,-80,46
2022-11-18 14:32:23.976,A8032A31204E,-80,46
2022-11-18 14:32:16.338,A8032A31204E,-79,46
2022-11-18 14:32:12.374,A8032A31204E,-80,46
2022-11-18 14:32:02.814,A8032A31204E,-80,46
2022-11-25 11:27:54.125,A8032A31204E,-80,47
2022-11-25 11:27:43.248,C45BBE37B346,-78,47
2022-11-25 11:27:43.216,C45BBE386952,-79,47
2022-11-25 11:27:39.292,C45BBE386952,-80,47
2022-11-25 11:27:39.223,C45BBE39F56A,-78,47
2022-11-25 11:27:34.652,A8032A31204E,-80,47
2022-11-25 11:27:33.056,C45BBE37B346,-79,47
2022-11-25 11:27:29.575,C45BBE386952,-80,47
2022-11-25 11:27:19.886,C45BBE386952,-80,47
2022-11-25 11:27:19.572,C45BBE37B346,-78,47
2022-11-25 11:27:11.299,A8032A31204E,-80,47
2022-11-25 11:27:10.129,C45BBE386952,-80,47
2022-11-25 11:27:04.162,C45BBE39F56A,-80,47
2022-11-25 11:27:02.151,C45BBE37B346,-78,47
2022-11-25 11:27:00.300,C45BBE37B346,-77,47
2022-11-25 11:26:48.723,C45BBE37B346,-79,47
2022-11-25 11:26:48.096,C45BBE39F56A,-80,47
2022-11-25 11:26:42.742,C45BBE386952,-80,47
2022-11-25 11:26:23.316,C45BBE37B346,-79,47
2022-11-25 11:26:19.451,C45BBE37B346,-80,47
2022-11-25 11:26:09.879,C45BBE37B346,-77,47
2022-11-25 11:26:07.006,C45BBE39F56A,-79,47
2022-11-25 11:26:03.762,C45BBE386952,-80,47
2022-11-25 11:26:00.366,C45BBE37B346,-79,47
2022-11-25 11:25:59.207,C45BBE39F56A,-80,47
2022-11-25 11:25:56.832,A8032A31204E,-79,47
2022-11-25 11:25:49.495,C45BBE39F56A,-80,47
2022-11-25 11:25:48.744,C45BBE37B346,-80,47
2022-11-25 11:25:44.503,C45BBE386952,-77,47
2022-11-25 11:25:41.253,A8032A31204E,-79,47
2022-11-25 11:25:40.646,C45BBE386952,-80,47
2022-11-25 11:25:39.752,C45BBE39F56A,-75,47
2022-11-25 11:25:38.974,C45BBE37B346,-77,47
2022-11-25 11:25:37.238,A8032A31204E,-80,47
2022-11-25 11:25:29.286,C45BBE37B346,-78,47
2022-11-25 11:25:28.112,C45BBE39F56A,-77,47
2022-11-25 11:25:27.457,A8032A31204E,-80,47
2022-11-25 11:25:27.160,C45BBE386952,-80,47
2022-11-25 11:25:19.714,C45BBE37B346,-77,47
2022-11-25 11:25:19.571,A8032A31204E,-79,47
2022-11-25 11:25:16.309,C45BBE39F56A,-80,47
2022-11-25 11:24:04.662,C45BBE37B346,-79,48
2022-11-25 11:23:57.486,A8032A31204E,-79,48
2022-11-25 11:23:55.027,C45BBE37B346,-80,48
2022-11-25 11:23:46.205,C45BBE39F56A,-80,48
2022-11-25 11:23:38.449,C45BBE39F56A,-79,48
2022-11-25 11:23:31.843,C45BBE37B346,-80,48
2022-11-25 11:23:30.626,C45BBE39F56A,-80,48
2022-11-25 11:23:28.009,C45BBE37B346,-80,48
2022-11-25 11:23:05.022,C45BBE37B346,-76,48
2022-11-25 11:22:51.503,C45BBE37B346,-80,48
2022-11-25 11:22:38.026,C45BBE39F56A,-79,48
2022-11-25 11:22:36.108,C45BBE37B346,-80,48
2022-11-25 11:22:30.212,C45BBE39F56A,-79,48
2022-11-25 11:22:28.419,C45BBE37B346,-80,48
2022-11-25 11:22:20.614,C45BBE37B346,-80,48
2022-11-25 11:22:20.502,C45BBE39F56A,-80,48
2022-11-25 11:22:07.105,C45BBE37B346,-79,48
2022-09-23 14:49:58.845,C45BBE37B346,-79,49
2022-09-23 14:49:51.999,C45BBE39F56A,-80,49
2022-09-23 14:49:43.284,C45BBE37B346,-78,49
2022-09-23 14:49:33.509,C45BBE37B346,-77,49
2022-09-23 14:49:04.382,C45BBE37B346,-78,49
2022-09-23 14:48:56.570,C45BBE37B346,-79,49
2022-09-23 14:48:52.681,C45BBE37B346,-78,49
2022-09-23 14:48:41.021,C45BBE37B346,-79,49
2022-09-23 14:48:27.431,C45BBE37B346,-78,49
2022-09-23 14:48:23.500,C45BBE37B346,-78,49
2022-09-23 14:48:11.821,C45BBE37B346,-79,49
2022-11-25 11:20:59.950,C45BBE39F56A,-75,50
2022-11-25 11:20:59.074,C45BBE386952,-79,50
2022-11-25 11:20:52.086,C45BBE37B346,-79,50
2022-11-25 11:20:50.145,C45BBE37B346,-77,50
2022-11-25 11:20:50.068,C45BBE39F56A,-79,50
2022-11-25 11:20:49.122,C45BBE386952,-75,50
2022-11-25 11:20:40.061,C45BBE39F56A,-78,50
2022-11-25 11:20:39.484,C45BBE386952,-77,50
2022-11-25 11:20:38.601,C45BBE37B346,-79,50
2022-11-25 11:20:30.217,C45BBE39F56A,-72,50
2022-11-25 11:20:29.824,C45BBE386952,-79,50
2022-11-25 11:20:28.926,C45BBE37B346,-72,50
2022-11-25 11:20:19.363,C45BBE37B346,-76,50
2022-11-25 11:20:18.491,C45BBE39F56A,-74,50
2022-11-25 11:20:14.433,C45BBE386952,-79,50
2022-11-25 11:20:10.575,C45BBE386952,-80,50
2022-11-25 11:20:09.775,C45BBE37B346,-74,50
2022-11-25 11:20:08.694,C45BBE39F56A,-76,50
2022-11-25 11:20:00.820,C45BBE39F56A,-75,50
2022-11-25 11:20:00.118,C45BBE37B346,-71,50
2022-11-25 11:19:58.920,C45BBE386952,-74,50
2022-11-25 11:19:50.447,C45BBE37B346,-77,50
2022-11-25 11:19:49.276,C45BBE386952,-77,50
2022-11-25 11:19:49.130,C45BBE39F56A,-78,50
2022-11-25 11:19:40.819,C45BBE37B346,-73,50
2022-11-25 11:19:39.677,C45BBE386952,-75,50
2022-11-25 11:19:39.405,C45BBE39F56A,-76,50
2022-11-25 11:19:30.123,C45BBE386952,-77,50
2022-11-25 11:19:29.535,C45BBE39F56A,-75,50
2022-11-25 11:19:29.167,C45BBE37B346,-71,50
2022-11-25 11:19:20.283,C45BBE386952,-79,50
