macModule,rssi,Time,Position (m)
C45BBE386952,-75,13:16:20.668000,40
C45BBE39F56A,-80,13:16:20.847000,40
A8032A31204E,-75,13:16:22.284000,40
C45BBE37B346,-73,13:16:23.463000,40
C45BBE386952,-79,13:16:30.304000,40
C45BBE37B346,-79,13:16:31.150000,40
A8032A31204E,-77,13:16:31.877000,40
A8032A31204E,-76,13:16:41.446000,40
C45BBE386952,-78,13:16:41.841000,40
C45BBE39F56A,-78,13:16:42.233000,40
C45BBE37B346,-80,13:16:42.695000,40
C45BBE39F56A,-79,13:16:44.183000,40
C45BBE37B346,-79,13:16:44.606000,40
C45BBE386952,-80,13:16:47.592000,40
A8032A31204E,-78,13:16:52.974000,40
C45BBE39F56A,-80,13:16:53.874000,40
C45BBE386952,-75,13:16:59.211000,40
A8032A31204E,-76,13:17:00.628000,40
C45BBE37B346,-80,13:17:01.817000,40
C45BBE37B346,-77,13:17:03.716000,40
A8032A31204E,-79,13:17:12.121000,40
C45BBE386952,-79,13:17:18.577000,40
A8032A31204E,-79,13:17:19.795000,40
C45BBE37B346,-78,13:17:28.614000,40
C45BBE39F56A,-76,13:17:30.860000,40
C45BBE386952,-79,13:17:32.094000,40
A8032A31204E,-78,13:17:33.258000,40
C45BBE37B346,-78,13:17:38.203000,40
C45BBE39F56A,-78,13:17:38.700000,40
A8032A31204E,-76,13:17:42.877000,40
C45BBE386952,-78,13:17:45.719000,40
C45BBE37B346,-80,13:17:49.673000,40
A8032A31204E,-77,13:17:52.506000,40
C45BBE37B346,-79,13:17:59.187000,40
A8032A31204E,-78,13:18:00.211000,41
C45BBE37B346,-78,13:18:08.735000,41
C45BBE39F56A,-75,13:18:09.897000,41
C45BBE386952,-74,13:18:10.824000,41
A8032A31204E,-80,13:18:11.738000,41
A8032A31204E,-77,13:18:23.359000,41
A8032A31204E,-80,13:18:29.060000,41
A8032A31204E,-76,13:18:42.662000,41
C45BBE386952,-79,13:18:47.689000,41
A8032A31204E,-79,13:18:52.256000,41
A8032A31204E,-73,13:18:54.085000,41
C45BBE37B346,-75,13:18:56.771000,41
C45BBE39F56A,-79,13:18:57.133000,41
C45BBE37B346,-75,13:19:08.193000,41
C45BBE386952,-77,13:19:09.003000,41
A8032A31204E,-71,13:19:11.404000,41
A8032A31204E,-80,13:19:22.994000,41
C45BBE39F56A,-77,13:19:24.478000,41
C45BBE386952,-78,13:19:24.524000,41
A8032A31204E,-78,13:19:28.744000,41
A8032A31204E,-79,13:19:42.232000,41
C45BBE39F56A,-78,13:19:49.836000,41
A8032A31204E,-76,13:19:49.892000,41
C45BBE37B346,-74,13:19:50.221000,41
C45BBE386952,-80,13:19:53.406000,41
C45BBE37B346,-74,13:19:54.019000,41
A8032A31204E,-80,13:20:01.375000,42
C45BBE386952,-79,13:20:03.048000,42
C45BBE386952,-78,13:20:04.942000,42
A8032A31204E,-80,13:20:09.179000,42
C45BBE39F56A,-76,13:20:09.282000,42
